Step	d0	d1	w0	w1	Pir0	Pir1	Pir2	Central	Siren
0	1	1	1	1	CLOSE	CLOSE	CLOSE	0	0
1	1	1	0	1	CLOSE	CLOSE	CLOSE	0	0
2	0	1	0	1	CLOSE	CLOSE	CLOSE	0	0
3	0	1	0	0	CLOSE	CLOSE	CLOSE	0	0
4	0	1	0	0	CLOSE	CLOSE	CLOSE	0	0
5	0	1	0	0	CLOSE	CLOSE	CLOSE	0	0
6	0	1	1	0	CLOSE	CLOSE	CLOSE	0	0
7	0	1	1	1	CLOSE	CLOSE	CLOSE	0	0
8	1	1	1	1	CLOSE	CLOSE	CLOSE	0	0
9	1	1	1	1	CLOSE	CLOSE	CLOSE	1	0
10	1	1	1	1	CLOSE	CLOSE	CLOSE	1	0
11	1	1	1	1	CLOSE	CLOSE	CLOSE	1	0
12	1	1	1	1	CLOSE	CLOSE	CLOSE	1	0
13	1	1	1	1	CLOSE	CLOSE	CLOSE	1	0
14	1	1	1	1	CLOSE	CLOSE	CLOSE	1	0
15	1	1	1	1	CLOSE	CLOSE	CLOSE	1	0
16	1	1	1	1	OPEN	OPEN	OPEN	1	1
17	1	1	1	1	OPEN	OPEN	OPEN	1	1
18	1	1	1	1	OPEN	OPEN	OPEN	1	1
19	1	1	1	1	OPEN	OPEN	OPEN	1	1
20	1	1	1	1	OPEN	OPEN	OPEN	1	1
21	1	1	1	1	OPEN	OPEN	OPEN	1	1
22	1	1	1	1	CLOSE	CLOSE	CLOSE	0	0
23	1	1	1	1	CLOSE	CLOSE	CLOSE	0	0
